Area,name,id,category,location,restaurant
"Wichita, Kansas",Freddy's Frozen Custard,4b75f9a4f964a5208e332ee3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}","(37.722487874106385, -97.4426118643938)",True
"Wichita, Kansas",Downtown YMCA,4b3e3a8df964a520cc9925e3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}","(37.692292271745806, -97.33587646137275)",False
"Wichita, Kansas",Goodcents Deli Fresh Subs,4b7daffaf964a5207dce2fe3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}","(37.672041, -97.443603)",True
"Wichita, Kansas",Old Cowtown Museum,4d406cae2dc18eec728c0ff9,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_', 'suffix': '.png'}","(37.6935455967247, -97.36074252385293)",False
"Wichita, Kansas",Tanganyika Wildlife Park,4b76fd09f964a520da712ee3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/zoo_', 'suffix': '.png'}","(37.67276545167902, -97.55727339366283)",False
"Wichita, Kansas",Nortons Brewing Company,5ad8879e86f4cc5461451b6b,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}","(37.6869218908607, -97.3318884340198)",True
"Wichita, Kansas",Chipotle Mexican Grill,4bb764bbf562ef3b50543197,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}","(37.724111996120406, -97.4632791926424)",True
"Wichita, Kansas",Bricktown Brewery,54dfc7c0498e2bf4db92bcd6,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}","(37.72253445082082, -97.44383811950684)",True
"Wichita, Kansas",Forever French Nails & Organic Salon,4d6c3d2c53f8b60c4b29ee56,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/nailsalon_', 'suffix': '.png'}","(37.67818260916786, -97.4629837999884)",False
"Wichita, Kansas",Scooter's Coffee,4bd6da5c4e32d13a852dc380,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}","(37.67836083964657, -97.49576082717195)",True
